Dutch Word,English Word,Frequency
gezegd,said,98732
thuis,At home,98444
wereld,world,98156
jongens,boys,97813
heen,to,97706
ken,know,96085
hen,them,95818
eerst,first,95781
eigen,own,94649
zoon,son,94005
gelijk,directly,93785
buiten,Outside,93577
vertel,tell,93539
morgen,tomorrow,92943
meisje,girl,92677
probleem,issue,92207
alsof,as if,92100
geloof,believe,91786
halen,to fetch ,91416
familie,family,91381
elke,each,91190
zouden,would,90745
hoop,heap,90558
politie,Police,89831
mannen,men,88242
bijna,almost,88083
vermoord,murdered,87785
eigenlijk,actually,87166
werken,to work,86903
verdomme,damn,86880
horen,to belong,86323
manier,way,86308
zat,was sitting,86182
vrienden,friends,86123
precies,precisely,85303
kind,child,84394
hè,Hey,83925
kleine,little,83652
begrijp,understand,83359
wou,wish,83099
geeft,gives,82928
orde,order,82400
houdt,holds,82085
verder,further,81608
vroeg,early,81010
stop,Stop,80987
wachten,to wait,80968
rustig,Calm,80885
hoofd,head,80392
krijg,receive,80016
daarom,therefore,79644
gebeurt,happens,79365
soms,sometimes,79301
volgens,according to,78650
dagen,to dawn,78121
vond,found,77407
krijgt,gets,77203
gemaakt,created,77105
kant,side,77067
werkt,works,76674
open,Open,76371
gehad,having,76346
voel,feel,76130
zaak,matter,75855
blij,pleased,75681
volgende,next one,75620
zoek,Search,75591
kans,opportunity,75545
vanavond,this evening,74852
bel,call,74744
probeer,try,74432
zoeken,Search,73343
oude,old,73245
ding,thing,73212
moment,moment,73205
best,best,72892
tussen,among,72407
plaats,Place,72264
pas,pass,72216
gehoord,heard,72189
vijf,five,72124
verteld,told,71375
zet,move,70421
prima,fine,70022
hulp,staff,69889
stad,city,69801
vindt,finds,69293
brengen,bring,68945
pijn,pain,68893
slecht,bad,68519
geloven,to believe,68314
eruit,get out,68306
minuten,minute,68121
school,school,67892
plan,plan,67744
broer,brother,67705
pak,business suit,67661
jezelf,yourself,67188
hoeveel,How much,67162
kamer,room,66186
betekent,stands for,65961
spreken,speak,65936
juist,correct,65493
heet,hot,65251
soort,kind,65248
haal,get,64852
ergens,somewhere,64809
vier,four,64780
gebruiken,use,64681
ligt,lies,64405
blijft,stays,64238
welke,which,64115
proberen,to attempt,64012
dokter,doctor,63817
agent,agent,63555
help,Help,63532
later,later,63082
voordat,before,63075
ogen,eyes,62918
vrij,free,62903
klopt,beats,62698
gaf,gave,62679
foto,photo,62534
word,become,62511
zodat,so that,62255
dochter,daughter,61982
problemen,issues,61468
plek,place,60863
water,water,60841
kent,knows,60829
week,week,60761
beginnen,to start,60700
praat,talking,60565
eerder,earlier,60548
lk,lk,60362
mis,mass,60292
handen,hands,60071
deur,door,59630
baby,baby,59278
bellen,dial,59053
boven,upper,59016
groot,big,58985
echte,real,58959
hoeft,needs,58632
ie,ie,58600
doden,kill,58363
stoppen,fuses,58247
moeilijk,difficult,58228
dr,Dr.,57649
sinds,ever since,57267
land,land,57099
spelen,play,57039
zoveel,that much,56681
hetzelfde,the same,56072
mevrouw,Mrs,55850
snap,snap,55686
breng,bring,55649
pakken,to take,55220
druk,Busy,55117
verhaal,story,55047
lekker,Yummy,55015
vrouwen,women,54920
schat,treasure,54898
vergeten,to forget,54741
gebeuren,to happen,54607
ervan,of it,54520
kreeg,received,54466
waarschijnlijk,probably,54358
hoi,Hi,54330
mogelijk,possibly,53888
mooie,nice,53773
bloed,blood,53765
wees,orphan,53317
nacht,night,53267
nieuws,news,53254
bed,bed,53226
liet,let,53125
lopen,walk,52842
gelukkig,happy,52806
waarheid,truth,52805
reden,rode,52589
papa,Daddy,52556
hoorde,heard,52304
klinkt,sounds,52079
maanden,months,52069
vermoorden,murder,52031
zorg,concern,51990
dollar,dollar,51705
bezig,in process,51568
voorbij,past,51461
terwijl,while,51386
sta,stand,51380
zaken,Affairs,51286
avond,evening,51218
tien,ten,51105
schuld,debt,51056
veilig,safe,50903
redden,to rescue,50611
hart,heart,50609
zult,will,50560
duidelijk,clear,50325
stel,couple,50175
the,the,50102
schiet,shooting,50037
eraan,there,50016
zes,six,49982
begin,get started,49685
gekomen,arrived,49497
vol,full,49460
vriendin,girlfriend,49358
rond,round,49059
voelt,feel,49014
baas,boss,48971
moord,murder,48872
ander,other,48843
klein,small,48749
fijn,fine,48589
jaren,years,48578
mam,mam,48070
lichaam,body,47882
eerlijk,honestly,47810
gezicht,face,47803
ver,far,47792
wakker,wake -up,47750
ouders,parents,47675
zoiets,something like this,47574
leren,to learn,47431
telefoon,phone,47429
los,loose,47185
per,per,46924
mama,mom,46820
nummer,number,46581
fout,error,46511
mogen,be allowed to,46347
meteen,right away,46199
slapen,to sleep,46123
zeer,very,46111
dezelfde,the same,45938
liefde,love,45767
alstublieft,Please,45696
deel,part ,45662
liggen,lie,45510
erop,on top,45415
vaak,often,45386
vallen,traps,45284
belangrijk,important,44823
sterven,die,44628
oud,old,44604
neer,down,44595
buurt,neighborhood,44533
langs,by,44529
houd,loves,44363
rest,rest,44302
stond,was standing,44174
sir,sir,44022
begrepen,understood,43973
drinken,drink,43854
team,team,43410
vertelde,told,43281
beneden,down,43261
vergeet,forgets,43213
vooruit,ahead,43171
mrs,Mrs.,43163
hoort,belongs,43123
baan,track,42966
dicht,closed,42908
inderdaad,indeed,42901
geval,case,42854
zetten,to make,42520
oorlog,war,42460
mezelf,myself,42111
tijdens,during the day,42029
john,John,41998
maakte,feature,41931
kennen,know,41881
gebruikt,used,41872
oke,Okay,41404
geluk,luck,41207
hey,hey,41125
hield,kept,41017
wapen,weapon,40809
kop,head,40757
vertrouwen,to trust,40719
rust,peace,40686
mond,mouth,40549
weken,weeks,40353
elk,each,40102
betalen,Pay,40089
anderen,others,40002
neemt,takes,39919
recht,straight,39851
nam,grabbed,39811
jack,jacket,39704
kantoor,office,39590
gegeven,datum,39508
ermee,with it,39489
overal,everywhere,39489
eén,a,39356
daarna,then,39346
tweede,second,39232
onderzoek,research,39172
welkom,welcome,39139
hard,hard,39129
liever,rather,39078
bewijs,evidence,39005
vanaf,from,38990
aardig,friendly,38750
klootzak,asshole,38177
stuk,broken,38103
woord,word,38045
veranderen,change,37709
zin,sentence,37661
straks,soon,37601
vent,guy,37493
zus,sister,37423
haat,hate,37392
vandaan,from,37082
miss,miss,36969
lieverd,darling,36929
zichzelf,itself,36924
nieuw,new,36821
ontmoeten,Meet,36709
werden,be,36285
allebei,both,36178
minder,less,36169
pap,dad,36114
nergens,nowhere,36087
kwaad,pissed off,36067
sam,sam,36052
erin,there,35890
ervoor,before,35890
kerel,dude,35849
gisteren,yesterday,35814
ontmoet,meet,35797
miljoen,million,35595
ok,OK,35551
film,movie,35549
verloren,lost,35488
probeerde,tried,35403
gebeld,called,35366
new,new,35306
antwoord,answer,35114
noemen,to mention,35032
informatie,information,35029
boek,book,34984
stil,quiet,34963
kapitein,captain,34916
kwijt,lost,34810
enkel,single,34753
valt,fall,34444
boos,angry,34129
licht,light,34092
geworden,have become,34091
pa,pa,33925
persoon,person,33880
konden,abundance,33856
beschermen,to protect,33812
slechte,poor,33703
ziekenhuis,Hopital,33702
gevoel,feeling,33679
gegaan,gone,33648
voorzichtig,carefully,33604
hond,dog,33539
rijden,to ride,33466
eindelijk,Finally,33462
gesproken,spoken,33443
meisjes,girls,33404
aarde,soil,33284
ten,at,33260
normaal,normal,33143
grappig,funny,33102
heren,Men,33056
voelen,to feel,32995
moordenaar,killer,32729
mens,man,32726
president,president,32722
nogal,rather,32680
gevangenis,jail,32654
loopt,runs,32569
degene,the one,32540
prachtig,beautiful,32438
hoezo,how so,32290
kopen,to buy,32204
vechten,fight,32202
punt,point,32143
vreemd,strange,32143
trouwen,Marry,32114
contact,Contact,32053
verkeerd,wrong,31969
meen,mean,31855
koffie,coffee,31743
verwacht,expected,31741
schip,ship,31735
ziek,ill,31676
plezier,pleasure,31661
einde,end,31594
stap,step,31546
advocaat,lawyer,31388
begint,begins,31297
begon,began,31286
enkele,a few,31261
erbij,there,31234
gang,course,31196
gebeurde,happened,30939
heer,gentleman,30666
herinner,remember,30618
jezus,Jesus,30577
opnieuw,again,30568
serieus,serious,30560
zomaar,just like that,30497
pardon,excuse me,30422
gevraagd,sought -after,30308
controle,check,30282
getrouwd,married,30245
daarmee,with that,30143
spel,game,30090
bedoelt,intended,29995
perfect,perfect,29932
stellen,set,29907
juiste,right one,29726
koning,king,29682
beloof,promise,29548
grond,ground,29492
waard,worth,29489
winnen,to win,29462
nadat,once,29411
gebruik,usage,29291
naartoe,to,29240
begrijpen,to understand,29159
veranderd,changed,29159
acht,eight,29149
he,Hey,29064
gingen,went,28953
kwamen,arrive,28894
leeft,lives,28744
leg,put,28657
gekregen,got,28643
langer,longer,28616
verliezen,losses,28356
vroeger,back in the days,28297
lucht,sky,28282
wapens,weapons,28261
verlaten,leave,28236
probeert,tries,28172
dames,ladies,28158
seks,sex,28136
schieten,shoot,28119
toekomst,future,28024
behalve,except,27924
slim,smart,27858
meest,most,27783
stuur,send,27775
leger,army,27774
woorden,words,27714
zeven,seven,27709
brengt,brings,27669
charlie,Charlie,27520
half,half,27475
hierheen,here,27465
trots,pride,27431
spullen,stuff,27325
geheim,secret,27264
helpt,helps,27196
vraagt,requires,27185
michael,Michael,27155
weinig,few,27127
ongeveer,about,27108
schatje,darling,27101
sommige,some,27051
makkelijk,comfortable,27038
kracht,power,27027
gedood,killed,26998
gestolen,stolen,26896
tenminste,at least,26872
lange,long,26823
ongeluk,accident,26806
frank,Frank,26751
zodra,as soon,26748
werkte,work,26726
wilden,wild ones,26688
eet,eat,26681
slechts,only,26636
lief,sweet,26598
nietwaar,not true,26568
relatie,relation,26541
trek,migration,26517
afgelopen,past,26507
val,fall,26492
volgen,follow,26484
ter,ter,26465
voelde,felt,26418
bekend,known,26262
bewijzen,prove,26238
hoef,hoof,26178
via,through,26128
oom,uncle,26120
loop,run,26088
belde,call,26056
lijken,appear,26002
sturen,to steer,25914
men,men,25862
slachtoffer,victim,25831
george,George,25817
genomen,taken,25781
maand,month,25724
onzin,nonsense,25712
meid,girl,25704
york,York,25702
erger,worse,25643
idioot,idiot,25618
ziens,see,25565
dienst,shift,25549
erover,over,25512
feest,party,25473
leek,seemed,25459
vreselijk,horrible,25443
eentje,one,25438
gevaar,danger,25434
wonen,live,25430
grootste,great,25416
succes,good luck,25376
vertrekken,leave,25316
jawel,Yes,25293
muziek,music,25279
mocht,for,25228
raar,weird,25187
slaap,sleep,25122
joe,Joe,25012
absoluut,absolute,25005
vorige,previous,24965
ruimte,room,24883
ieder,everyone,24813
schuldig,guilty,24785
goeie,good,24705
begonnen,started,24702
luisteren,listen,24691
sterk,strong,24629
omhoog,upwards,24612
totdat,until,24590
afspraak,appointment,24583
lezen,read,24558
zwarte,black,24450
vanwege,because of,24440
hemel,heaven,24434
tenzij,unless,24428
gisteravond,yesterday evening,24391
begrijpt,understand,24387
ene,one,24382
lag,lag,24379
naast,next,24354
vooral,mainly,24316
fantastisch,fantastic,24165
gered,saved,24151
viel,fell,24135
trouwens,Incidentally,24067
uh,uh,24032
bank,Bank,24010
pistool,pistol,23829
noem,call,23793
bedrijf,company,23761
camera,camera,23733
blijkbaar,evidently,23733
woont,lives,23616
verkopen,to sell,23615
beide,both,23607
zolang,so long,23575
straat,street,23574
mike,Mike,23499
geest,spirit,23452
david,David,23433
vuur,fire,23431
peter,Peter,23387
verkeerde,wrong,23365
moesten,had to,23361
lieve,dear,23232
tom,Tom,23183
geprobeerd,tried,23179
meeste,most,23124
kijkt,looks,23103
stierf,died,23078
hotel,hotel,23068
droom,dream,23033
verliefd,in love,23031
jammer,Unfortunately,22986
gedacht,thought,22958
let,note,22920
rug,back,22868
vertaling,translation,22864
slaan,to beat,22794
gaten,holes,22778
doel,goal,22767
meter,meter,22759
drugs,drug,22662
gevaarlijk,dangerous,22605
geweldige,great,22586
lijst,list,22538
fbi,FBI,22496
namen,take,22388
deden,did,22333
jonge,young,22292
schelen,care,22216
goedemorgen,good morning,22194
dragen,wear,22192
iedere,each,22153
excuseer,excuse,22128
stom,stupid,22050
jong,young,22033
zover,as far,22024
betaald,paid,22016
kende,knew,22014
kleren,clothes,22000
gesprek,conversation,21984
lukt,succeeds,21907
welk,which,21896
vertelt,tells,21874
prijs,price,21873
voorstellen,introduce,21813
huwelijk,wedding,21792
tv,TV,21786
missen,to miss,21780
schrijven,write,21779
groep,group,21771
herinneren,remember,21686
regels,lines,21643
vonden,found,21627
vliegtuig,plane,21528
onderweg,en route,21488
delen,parts,21458
geleerd,learned,21454
stomme,stupid,21449
bestaat,consists,21440
james,James,21372
vertrouw,trust,21304
daarvoor,therefor,21299
shit,shit,21265
trekken,Pull,21250
zak,bag,21196
vanuit,from,21145
gebracht,brought,21082
stem,voice,21071
gezin,family,21054
keuze,choice,21031
raken,touch,20992
direct,straight away,20978
verdomde,damn,20968
boot,boat,20881
dom,stupid,20836
verleden,past,20816
gemist,missed,20795
duurt,takes,20779
gedachten,thoughts,20753
situatie,situation,20724
moe,tired,20708
deal,deal,20676
tafel,table,20665
band,band,20647
generaal,general,20643
reis,trip,20543
partner,partner,20489
leuke,nice,20471
raad,council,20447
honger,hungry,20396
geraakt,touched,20380
gebouw,building,20377
zwaar,heavy,20373
gast,guest,20321
gestuurd,steered,20318
geboren,born,20279
bracht,brought,20258
rechter,judge,20254
agenten,agents,20224
bureau,desk,20171
macht,power,20161
spreek,speak,20141
derde,third,20049
regel,rule,20038
kolonel,colonel,20037
ruzie,row,20000
oma,Grandma,19994
zeiden,said,19940
speelt,plays,19940
dronken,drunk,19923
vliegen,fly,19919
luitenant,lieutenant,19867
gelooft,believes,19852
arme,poor,19847
seconden,second,19706
liep,walked,19687
tuurlijk,of course,19655
red,red,19650
gefeliciteerd,congratulations,19648
koud,cold,19550
regelen,to arrange,19534
henry,Henry,19483
bericht,message,19459
vlucht,flight,19448
moeite,trouble,19407
hel,hell,19393
dame,Lady,19338
oog,eye,19310
ma,ma,19260
dansen,dancing,19257
teken,sign,19243
onmogelijk,impossible,19187
gewerkt,worked,19162
helaas,unfortunately,19153
grapje,just kidding,19144
arm,arm,19131
show,show,19128
lachen,laugh,19108
leggen,lay,19103
sleutel,key,19101
wet,law,19085
liefje,sweetheart,19057
keek,watched,18999
paul,Paul,18976
alex,Alex,18957
aantal,number of,18885
zoekt,searches,18871
extra,additional,18844
zweer,swear,18768
leiden,lead,18742
harry,Harry,18661
mary,Mary,18661
lijk,dead body,18620
kapot,Broken,18568
bleef,Remained,18565
sneller,faster,18565
gebroken,broken,18564
uiteindelijk,in the end,18521
verdwenen,gone,18521
kaart,Map,18486
kerk,church,18459
mijne,mine,18450
dode,dead,18405
brand,fire,18385
i,I,18361
max,max,18349
betrokken,concerned,18328
wegwezen,get out,18295
plannen,plan,18287
volg,follow,18284
lastig,tricky,18277
tijdje,while,18214
negen,nine,18197
gebied,area,18164
beiden,both,18129
eind,end,18074
operatie,operation,18071
diep,deep,17969
persoonlijk,in person,17943
liegen,to lie,17889
zwanger,pregnant,17883
club,club,17847
respect,respect,17819
steek,lurch,17808
waarvoor,for which,17778
missie,mission,17760
cool,cool,17753
danny,Danny,17738
amerika,America,17722
zon,Sun,17668
kost,cost,17636
paard,horse,17627
waarop,on which,17623
maat,mate,17621
brief,letter,17618
raak,striking,17612
rijk,rich,17591
rij,queue,17584
risico,risk,17565
meestal,mostly,17535
witte,white,17533
getuige,witness,17509
kwalijk,bad,17489
rechercheur,detective,17469
schoenen,shoes,17421
bar,bar,17399
hoeven,hooves,17374
midden,middle,17368
hopelijk,hopefully,17355
lijn,line,17340
eer,honour,17305
gezet,set,17280
zuster,sister,17246
bal,ball,17239
a,a,17228
sprak,spoke,17212
aanval,attack,17167
aandacht,attention,17149
kiezen,select,17131
komaan,come on,17097
rode,red,17094
meiden,fellow girls,17058
amerikaanse,American,17056
adres,address,17033
zee,sea,16907
hoog,high,16819
feestje,party,16819
gekocht,purchased,16803
bevel,order,16801
wedstrijd,contest,16767
sluiten,Close,16744
daarvan,of them,16741
jimmy,Jimmy,16731
volledig,fully,16715
rot,rotten,16702
les,grade,16664
ziel,soul,16654
interessant,interesting,16639
slag,battle,16622
sluit,closing,16618
zelfmoord,suicide,16582
computer,computer,16550
planeet,planet,16523
bereiken,to achieve,16480
verdachte,suspect,16476
sarah,Sarah,16448
gelezen,read,16431
uitleggen,to explain,16430
beloofd,promised,16424
laatst,last,16400
winkel,store,16383
zul,such,16379
wagen,car,16371
angst,fear,16369
muur,wall,16362
leeg,empty,16337
bezoek,visit,16270
stelen,to steal,16259
gewonnen,won,16252
positie,position,16214
wisten,knew,16195
sheriff,sheriff,16193
bekijken,see,16156
helft,half,16125
r,r,16120
warm,warmly,16098
keus,choice,16097
vanmorgen,this morning,16088
park,park,16023
zulke,such,16011
nick,Nick,16010
heerlijk,lovely,15989
gevallen,cases,15985
zaten,sat,15964
rennen,run,15963
gewond,injured,15952
sergeant,sergeant,15937
volk,people,15922
dieren,animal,15907
kort,short,15887
spreekt,speaks,15883
ah,Ah,15873
allen,all,15862
tony,Tony,15856
verdient,earnings,15853
onderzoeken,to investigate,15818
haast,rush,15808
dromen,to dream,15803
systeem,system,15770
meester,master,15752
kont,ass,15749
enig,any,15739
ontdekt,discovers,15715
verkocht,sold,15679
tante,aunt,15660
bewegen,to move,15634
geschreven,written,15634
groter,taller,15614
neus,nose,15594
ach,oh,15582
verklaring,declaration,15572
broek,pants,15572
verdienen,to deserve,15568
speel,play,15562
hangt,hangs,15553
vijand,enemy,15527
gelukt,success,15492
verschillende,various,15473
speciale,special one,15450
verrassing,surprise,15444
vreemde,stranger,15409
sla,salad,15404
geschiedenis,history,15380
erachter,behind,15369
lul,dick,15357
bezorgd,Worried,15331
hoogte,height,15286
vrede,peace,15234
meegenomen,brought,15188
zagen,saws,15186
liegt,lies,15176
bus,bus,15160
belachelijk,ridiculous,15128
betere,better,15123
raam,windown,15119
wijn,wine,15098
mes,knife,15056
ontslagen,laid off,15049
geheime,secret,15037
gehouden,kept,14987
weggaan,go away,14979
weekend,weekend,14956
eh,eh,14953
excuses,apologies,14937
getuigen,to give evidence,14905
jim,Jim,14881
bom,bomb,14877
inspecteur,inspector,14873
gehaald,achieved,14872
spoor,track,14858
held,hero,14812
benen,legs,14797
dachten,thought,14794
waarvan,from what,14794
tas,bag,14788
thee,tea,14778
ray,ray,14761
jane,Jane,14761
overleven,to survive,14760
belt,call,14759
meenemen,take,14753
nek,neck,14751
gevecht,battle,14693
bestaan,to exist,14684
ongelooflijk,incredible,14676
slachtoffers,victims,14648
drink,drink,14646
ring,ring,14638
donker,dark,14610
links,left,14607
dichtbij,close to,14596
bereid,prepared,14586
feit,fact,14575
vriendje,boyfriend,14536
professor,professor,14494
verschil,difference,14491
collega,colleague,14472
spul,stuff,14466
boeken,books,14448
slaat,hit,14441
will,will,14435
alweer,again,14429
rekening,account,14415
gooi,throw,14409
beslissing,decision,14390
verlies,loss,14383
been,leg,14381
verjaardag,birthday,14381
lift,elevator,14378
tommy,Tommy,14365
bob,Bob,14361
koningin,queen,14348
teveel,too much,14324
levend,living,14323
waarmee,by which,14306
raakt,hits,14286
draagt,wears,14273
verandert,changes,14261
trein,train,14257
da,da,14253
monster,sample,14236
raakte,gag,14221
sporen,tracks,14210
opa,grandpa,14207
zingen,to sing,14205
voeten,feet,14166
lot,lot,14162
richting,direction,14146
knap,good looking,14125
duren,last,14101
speciaal,special,14099
gebruikte,used,14085
gestopt,stopped,14073
hoge,high,14054
gesloten,Closed,14050
boord,board,14049
bedoelde,meant,14049
gepakt,packed,13989
you,You,13969
draai,play,13933
vannacht,tonight,13933
ijs,ice,13920
enorme,huge,13907
reed,drove,13906
beurt,turn,13888
koop,purchase,13888
appartement,apartment,13873
cel,cell,13855
d,D,13848
begraven,to bury,13845
indruk,impression,13830
vlees,meat,13793
strijd,conflict,13791
ochtend,morning,13782
keuken,kitchen,13747
energie,energy,13730
vernietigen,destroy,13722
geregeld,regularly,13715
plaatsen,places,13690
gevoelens,feelings,13687
last,burden,13683
la,la,13673
bedanken,to thank,13665
ophouden,to hold up,13661
hangen,to hang,13656
kennis,knowledge,13650
bill,Bill,13647
patiënt,patient,13606
zware,heavy,13585
basis,base,13578
kat,cat,13563
glas,glass,13552
sloeg,Slag,13539
dankzij,thanks to,13538
dader,perpetrator,13536
gasten,guests,13512
zwart,black,13488
betaal,pay,13481
adem,breath,13475
richard,Richard,13464
boodschap,errand,13388
grap,joke,13386
bos,bunch,13383
geholpen,assisted,13348
godsnaam,God sake,13339
prachtige,gorgeous,13330
neergeschoten,shot,13318
werkelijk,actually,13314
gestorven,died,13296
huilen,to cry,13282
commandant,commander,13272
billy,Billy,13266
soldaten,soldiers,13263
jake,jake,13262
jurk,dress,13232
gevangen,caught,13230
veiligheid,safety,13208
hoek,corner,13198
hiermee,with this,13178
afstand,distance,13177
kilometer,kilometer,13172
regering,government,13170
stoel,chair,13168
onschuldig,innocent,13160
kogel,ball,13153
londen,London,13146
vlak,right,13140
stuurde,steered,13135
fijne,nice,13134
waarin,in which,13129
voet,foot,13126
haalt,fetches,13125
ontsnappen,escape,13114
gooien,throw,13109
rechts,right,13107
ineens,suddenly,13102
ouwe,old,13089
test,test,13088
toestemming,permission,13076
wraak,revenge,13075
breken,break,13067
rol,role,13061
opschieten,Hurry up,13050
kalm,calm,13022
goud,gold,13016
verantwoordelijk,responsible,13015
enorm,enormous,13010
bespreken,discuss,13009
noemt,mentions,13008
verdorie,damn,13008
ervaring,experience,13006
soldaat,soldier,13004
gepraat,talking,13003
steve,Steve,12989
mark,Mark,12977
totaal,total,12959
and,and,12942
gratis,free,12925
overleden,passed away,12921
moorden,kill,12902
eiland,Island,12837
beeld,image,12826
passen,fit,12822
leeftijd,age,12821
noemde,mentioned,12821
tekenen,draw,12795
doorgaan,Get on,12795
boom,tree,12793
uitzoeken,investigate,12781
dak,roof,12758
besloten,decided,12753
lunch,lunch,12721
ryan,Ryan,12707
vele,many,12704
schoon,beautiful,12698
controleren,to check,12694
gearresteerd,arrested,12690
schoot,shot,12687
eraf,off,12684
achteruit,backwards,12672
johnny,Johnny,12668
belangrijke,important,12666
lees,read,12665
perfecte,perfect,12664
dorp,village,12652
eikel,jerk,12648
bobby,Bobby,12640
dossier,file,12624
past,suits,12613
code,code,12609
vieren,to celebrate,12607
geluid,sound,12596
homo,homo,12552
verschrikkelijk,terrible,12547
stelt,stilt,12546
slaapt,sleeps,12545
bier,beer,12522
dna,DNA,12521
hoelang,how long,12478
eenmaal,once,12477
simpel,easy,12470
zocht,sought,12466
